pull_date,pull_time,location,update_time,pct_full,date,time,wday
1/2/23,0:55,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/2/23,8:55,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/2/23,8:55,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/2/23,8:55,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/2/23,8:55,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/2/23,8:55,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/2/23,8:55,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/2/23,9:03,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/2/23,9:03,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/2/23,9:03,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/2/23,9:03,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/2/23,9:03,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/2/23,9:03,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/2/23,11:31,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/2/23,11:31,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/2/23,11:31,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/2/23,11:31,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/2/23,11:31,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/2/23,11:31,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/2/23,11:55,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/2/23,11:55,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/2/23,11:55,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/2/23,11:55,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/2/23,11:55,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/2/23,11:55,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/2/23,12:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/2/23,12:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/2/23,12:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
